Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
31/03/2025 06:54 a. m.,Rechazada,00:00,,,,,,,,,,,,,,,,,,,,,VMS 1,,,,,,,,,,,
31/03/2025 04:25 p. m.,Ordeño,09:53,14.58,2,,,,,0,,1.32,1.32,0.90,1.38,0,0,0,0,5.06,4.90,5.25,0.00,VMS 1,,Tanque,,1.74,1.80,1.26,1.80,4.83,3.58,1.47,4.70
01/04/2025 02:49 a. m.,Ordeño,09:02,11.10,1,,TD,,,0,,1.26,1.32,1.08,1.56,0,0,0,0,4.80,4.63,0.00,4.70,VMS 1,,Tanque,,1.62,1.74,1.80,1.92,3.40,2.86,2.29,2.55
01/04/2025 09:38 a. m.,Ordeño,08:54,6.79,2,,,,,0,,1.14,1.14,0.84,1.32,0,0,0,0,4.65,4.59,4.90,0.00,VMS 1,,Tanque,,1.50,1.50,1.26,1.86,1.99,1.77,0.67,2.36
02/04/2025 01:34 a. m.,Ordeño,10:27,9.37,1,,,DI,DI,0,,0.00,1.32,1.38,1.62,0,0,0,0,0.00,5.18,0.00,5.16,VMS 1,,Tanque,,0.00,2.16,2.46,2.46,0.00,3.90,1.62,3.85
02/04/2025 04:46 p. m.,Ordeño,11:03,4.72,2,,,"DD,TI,TD","DD,TI,TD",0,,1.32,0.00,0.00,0.00,0,0,0,0,4.81,0.00,0.00,0.00,VMS 1,,Tanque,,1.98,0.00,0.00,0.00,4.72,0.00,0.00,0.00
03/04/2025 02:19 p. m.,Ordeño,07:46,16.48,1,,,,,0,,1.32,1.26,1.08,1.44,0,0,0,0,4.89,4.63,5.15,0.00,VMS 1,,Tanque,,1.74,1.56,1.50,1.86,5.37,4.44,1.38,5.29
03/04/2025 10:25 p. m.,Ordeño,09:08,4.62,2,,,,TI,0,,1.26,1.08,0.00,1.26,0,0,0,0,4.55,4.23,0.00,0.00,VMS 1,,Tanque,,1.80,1.56,0.00,1.74,1.68,1.23,0.00,1.71
04/04/2025 07:57 a. m.,Ordeño,05:20,9.29,1,,,,,0,,1.26,1.32,1.38,0.90,0,0,0,0,5.01,4.90,0.00,5.30,VMS 1,,Tanque,,1.56,1.68,1.80,1.38,2.93,2.27,2.93,1.16
04/04/2025 05:32 p. m.,Ordeño,06:11,5.76,2,,TD,DI,DI,0,,0.00,1.20,1.32,1.32,0,0,0,0,0.00,5.08,5.18,5.36,VMS 3,,Tanque,,0.00,1.56,1.74,2.10,0.00,2.33,1.30,2.13
05/04/2025 06:17 a. m.,Ordeño,08:06,13.28,1,,,,TI,0,,1.38,1.44,0.00,1.44,0,0,0,0,4.99,5.10,0.00,5.21,VMS 3,,Tanque,,1.92,1.92,0.00,1.80,4.84,3.46,0.00,4.98
05/04/2025 09:30 p. m.,Ordeño,12:12,9.63,2,,TD,DI,DI,0,,0.00,1.44,1.02,1.56,0,0,0,0,0.00,5.05,5.58,5.16,VMS 3,,Tanque,,0.00,1.86,1.44,2.46,0.00,4.63,1.74,3.26
06/04/2025 03:56 p. m.,Ordeño,08:36,14.06,1,,,,TI,1,,1.32,1.32,0.00,1.62,0,0,0,0,4.91,4.67,0.00,4.71,VMS 3,,Tanque,,2.04,1.74,0.00,2.34,5.07,3.61,0.00,5.38
07/04/2025 01:19 a. m.,Ordeño,06:00,10.01,1,,,,,1,TI,1.38,0.96,1.14,1.38,0,0,0,0,4.56,4.59,5.42,4.53,VMS 3,,Tanque,,1.80,1.32,1.56,1.80,3.07,2.04,1.88,3.02
07/04/2025 10:24 a. m.,Ordeño,07:08,9.68,2,,,,,0,,1.38,1.02,0.90,1.38,0,0,0,0,4.91,4.80,4.63,4.82,VMS 3,,Tanque,,1.80,1.44,1.44,1.80,3.10,2.31,0.77,3.50
07/04/2025 10:09 p. m.,Ordeño,07:43,11.42,3,,,,,0,,1.44,1.14,0.84,1.50,0,0,0,0,4.91,4.83,4.77,5.05,VMS 3,,Tanque,,1.80,1.62,1.38,1.98,3.57,2.85,0.81,4.19
08/04/2025 04:18 p. m.,Ordeño,11:30,13.40,1,,"DI,DD,TD",,,0,,1.38,1.44,1.50,1.32,0,0,0,0,4.94,4.99,4.69,4.81,VMS 3,,Tanque,,1.80,2.16,1.92,2.10,4.80,3.63,2.13,2.84
